Reviews,Timeframe
Kushuka special in the hotel .. i like very much,a year ago
"Worst at parcel service, they have no mind on us.",2 years ago
Gut burning dishes👍🔥,7 months ago
That disgusting smell at this hotel.. ewww,a year ago
Unique recipe gilma biriyani is best ever,4 years ago
"Severs good food
But maintainance is little bad",4 years ago
Food quality is very good,3 years ago
Food taste are normal level only..,5 years ago
Waste of time the labour can't at all understand anything,a year ago
Medium level quantity but taste good,3 years ago
Nice and tasty and affordable one!,4 years ago
Good place for non vegetarian food,4 years ago
Washing area is not clean... Bad smell in washing area,4 years ago
Worst food making and no proper cleaning,3 years ago
Cheap and best...good taste,5 years ago
"affordable price, don't expect more!!",5 years ago
Good food for best price,5 years ago
Tasty food but dirty surrounding,4 years ago
Non veg food at minimum price.,4 years ago
Worst ambience. Avg taste,4 years ago
Worst place to have a worst food with worst service,4 years ago
Sever is rude . Not respect its irritating,2 years ago
Very bad hotal,a year ago
Nice hotel Chicken rice is good in this hotel,4 years ago
Liked it but have to improve moree,5 years ago
Good restaurant to dine in!!!,a year ago
No supplier. No customer response,2 years ago
Very poor food,2 years ago
Very Bad experience,a year ago
Good for take aways,a year ago
Best hotel for budget purposes,4 years ago
Near highway so it's convenient.,5 years ago
Gilma biriyani !! Veara level,5 years ago
Good food and good dinning area,5 years ago
"Good choice, reasonable cost",4 years ago
Very nice,2 years ago
Waiting time too much taken,3 years ago
��‍🌫️😐,a year ago
So tasty too,2 years ago
Full of masala....poor hygiene,3 years ago
Must try chicken gilma..😋😋✌️ …,4 years ago
Worst service no response,5 years ago
Service is too bad ....,a year ago
Unhygienic food and unfriendly servers,4 years ago
Noo neat,3 years ago
Cheap n best,4 years ago
Excellent taste of foods,3 years ago
Cheap for eating small hotel,4 years ago
Very good ambienxe,4 years ago
Service for parcel to be taken care,4 years ago
Not bad,4 years ago
Very low quality...,2 years ago
Better place for gravy,4 years ago
Liked it way better...,5 years ago
Not so tasty,4 years ago
It's not cleaning,2 years ago
Very worst hospitality,3 years ago
Neatness has to be improved..,4 years ago
Good for food,4 years ago
Cheap and best,4 years ago
Economy,9 months ago
Good and tasty..,6 years ago
Reasonable price,4 years ago
Excellent,a year ago
Not so clean,8 years ago
Nice 😎 …,4 years ago
Budget friendly,4 years ago
Literally bad caring 😪 …,4 years ago
Good,2 years ago
Worst taste,4 years ago
Super.,3 years ago
Nice services,5 years ago
Ok,4 years ago
Vera level food,2 years ago
Service is slow,4 years ago
Wow and awsome,4 years ago
Perfect,4 years ago
Worst hotel,4 years ago
Great,4 years ago
Norma taste,5 years ago
��😘 …,4 years ago
Not Statistfied,3 years ago
taste good,2 years ago
Good service,4 years ago
Not to the expectations,3 years ago
